country,continent,year,population,gdp,primary_energy_consumption,renewable_energy_consumption,renewables_share_energy,electricity_generation,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,nuclear_consumption,solar_capacity_mw,wind_capacity_mw,hydro_capacity_mw,carbon_emissions_mt,energy_imports_twh,energy_exports_twh,energy_intensity_gdp,average_energy_price_usd_per_kwh,industrial_energy_use_twh,residential_energy_use_twh,transport_energy_use_twh,temperature_celsius,renewable_investment_usd_billion,energy_efficiency_index,urbanization_rate,policy_index
Germany,Europe,2002,83.32,2048.72,4.29,0.93,21.58,1.55,3.37,1.12,1.32,0.92,0.09,130.18,232.02,441.96,2.55,1.16,0.09,0.002,0.0753,1.29,1.29,1.29,9.43,14.62,63.4,76.0,6.61
Germany,Europe,2003,83.98,2099.94,4.39,0.99,22.62,1.6,3.4,1.11,1.32,0.97,0.09,164.03,275.98,458.86,2.56,1.31,0.09,0.002,0.0825,1.32,1.32,1.32,9.86,18.06,64.71,76.5,6.29
Germany,Europe,2004,84.66,2152.44,4.49,1.06,23.66,1.66,3.43,1.09,1.32,1.02,0.09,206.68,328.26,476.4,2.57,1.3,0.09,0.002,0.1023,1.35,1.35,1.35,10.02,22.27,65.8,77.0,6.85
Germany,Europe,2005,85.33,2206.25,4.6,1.14,24.7,1.72,3.46,1.07,1.32,1.07,0.09,260.42,390.44,494.62,2.58,0.76,0.09,0.0019,0.1061,1.38,1.38,1.38,10.21,27.4,67.31,77.5,6.57
Germany,Europe,2006,86.02,2261.4,4.7,1.21,25.74,1.79,3.49,1.05,1.31,1.12,0.09,328.12,464.41,513.54,2.59,1.34,0.09,0.0019,0.0876,1.41,1.41,1.41,9.26,33.66,68.82,78.0,6.49
Germany,Europe,2007,86.7,2317.94,4.81,1.29,26.78,1.85,3.52,1.04,1.31,1.18,0.1,413.44,552.38,533.17,2.59,0.95,0.1,0.0019,0.112,1.44,1.44,1.44,11.18,41.28,68.69,78.5,7.18
Germany,Europe,2008,87.4,2375.89,4.92,1.37,27.82,1.92,3.55,1.02,1.31,1.23,0.1,520.93,657.03,553.56,2.6,1.07,0.1,0.0018,0.0877,1.48,1.48,1.48,9.98,50.55,70.29,79.0,7.45
Germany,Europe,2009,88.1,2435.28,5.04,1.45,28.86,1.99,3.58,1.0,1.3,1.28,0.1,656.37,781.5,574.73,2.61,1.35,0.1,0.0018,0.1096,1.51,1.51,1.51,9.54,61.81,70.78,79.5,6.91
Germany,Europe,2010,88.8,2496.16,5.15,1.54,29.9,2.06,3.61,0.98,1.3,1.34,0.1,827.03,929.54,596.71,2.61,1.2,0.1,0.0018,0.0977,1.55,1.55,1.55,11.18,75.49,71.4,80.0,7.12
Germany,Europe,2011,89.51,2558.57,5.27,1.71,32.5,2.14,3.56,0.93,1.27,1.36,0.11,1042.05,1105.64,619.53,2.53,0.9,0.11,0.0017,0.1125,1.58,1.58,1.58,10.68,96.72,71.6,80.5,7.23
Germany,Europe,2012,90.23,2622.53,5.39,1.89,35.1,2.21,3.5,0.89,1.23,1.38,0.11,1312.99,1315.09,643.22,2.45,1.38,0.11,0.0017,0.0869,1.62,1.62,1.62,11.12,123.12,75.22,81.0,7.38
Germany,Europe,2013,90.95,2688.1,5.52,2.08,37.7,2.29,3.44,0.85,1.2,1.4,0.11,1654.36,1564.22,667.81,2.37,0.9,0.11,0.0017,0.1255,1.66,1.66,1.66,10.27,155.88,75.08,81.5,8.26
Germany,Europe,2014,91.68,2755.3,5.65,2.28,40.3,2.37,3.37,0.8,1.16,1.41,0.11,2084.5,1860.54,693.35,2.29,1.65,0.11,0.0016,0.1274,1.69,1.69,1.69,11.07,196.42,76.31,82.0,7.68
Germany,Europe,2015,92.41,2824.18,5.78,2.48,42.9,2.46,3.3,0.76,1.12,1.42,0.12,2626.47,2213.0,719.86,2.2,1.54,0.12,0.0016,0.1123,1.73,1.73,1.73,10.45,246.47,79.63,82.5,9.86
Germany,Europe,2016,93.15,2894.79,5.91,2.69,45.5,2.54,3.22,0.72,1.08,1.42,0.12,3309.35,2632.23,747.39,2.12,1.32,0.12,0.0016,0.0925,1.77,1.77,1.77,10.58,308.13,77.43,83.0,10.0
Germany,Europe,2017,93.9,2967.16,6.05,2.91,48.1,2.63,3.14,0.67,1.04,1.42,0.12,4169.78,3130.88,775.97,2.03,1.01,0.12,0.0015,0.12,1.81,1.81,1.81,11.17,383.96,80.73,83.5,10.0
Germany,Europe,2018,94.65,3041.33,6.19,3.14,50.7,2.72,3.05,0.63,1.0,1.42,0.12,5253.92,3724.0,805.64,1.94,1.28,0.12,0.0015,0.1074,1.86,1.86,1.86,11.46,477.06,80.49,84.0,10.0
Germany,Europe,2019,95.4,3117.37,6.33,3.37,53.3,2.82,2.96,0.59,0.96,1.41,0.13,6619.94,4429.47,836.45,1.84,0.96,0.13,0.0015,0.1368,1.9,1.9,1.9,9.85,591.17,84.36,84.5,10.0
Germany,Europe,2020,96.17,3195.3,6.48,3.62,55.9,2.91,2.86,0.54,0.91,1.4,0.13,8341.13,5268.59,868.44,1.75,1.94,0.13,0.0014,0.103,1.94,1.94,1.94,10.91,730.84,85.88,85.0,10.0
Germany,Europe,2021,96.94,3275.18,6.63,3.88,58.5,3.01,2.75,0.5,0.87,1.38,0.13,10509.82,6266.68,901.65,1.65,1.62,0.13,0.0014,0.1298,1.99,1.99,1.99,10.75,901.54,85.71,85.5,10.0
Germany,Europe,2022,97.71,3357.06,6.78,4.14,61.1,3.12,2.64,0.46,0.82,1.36,0.14,13242.37,7453.83,936.13,1.56,1.93,0.14,0.0014,0.1058,2.03,2.03,2.03,10.44,1109.92,88.2,86.0,10.0
Germany,Europe,2023,98.49,3440.99,6.94,4.42,63.7,3.23,2.52,0.42,0.78,1.32,0.14,16685.39,8865.89,971.92,1.46,1.51,0.14,0.0013,0.1308,2.08,2.08,2.08,10.47,1364.0,86.35,86.5,10.0
Germany,Europe,2024,99.28,3527.02,7.1,4.7,66.3,3.34,2.39,0.38,0.73,1.29,0.14,21023.59,10545.44,1009.09,1.36,1.44,0.14,0.0013,0.1313,2.13,2.13,2.13,10.12,1673.44,90.7,87.0,10.0
Japan,Asia,2000,127.0,4900.0,6.35,0.95,15.0,2.22,5.4,1.89,2.16,1.35,0.95,127.0,254.0,635.0,4.24,1.62,0.13,0.0013,0.0814,1.9,1.9,1.9,17.62,18.38,61.26,75.0,6.18
Japan,Asia,2001,128.02,5022.5,6.5,1.03,15.8,2.31,5.47,1.87,2.17,1.43,0.99,160.02,302.12,659.28,4.28,1.13,0.13,0.0013,0.0984,1.95,1.95,1.95,18.69,22.81,63.0,75.5,6.38
Japan,Asia,2002,129.04,5148.06,6.65,1.1,16.6,2.39,5.54,1.85,2.17,1.52,1.02,201.63,359.35,684.49,4.32,1.61,0.13,0.0013,0.0807,1.99,1.99,1.99,18.95,28.25,63.86,76.0,5.85
Japan,Asia,2003,130.07,5276.76,6.8,1.18,17.4,2.48,5.62,1.83,2.18,1.61,1.06,254.05,427.43,710.67,4.36,1.05,0.14,0.0012,0.0811,2.04,2.04,2.04,18.74,34.91,65.55,76.5,6.1
Japan,Asia,2004,131.11,5408.68,6.96,1.27,18.2,2.57,5.69,1.81,2.19,1.7,1.1,320.1,508.4,737.84,4.4,1.66,0.14,0.0012,0.0832,2.09,2.09,2.09,19.1,43.04,66.17,77.0,6.94
Japan,Asia,2005,132.16,5543.9,7.12,1.35,19.0,2.67,5.77,1.79,2.19,1.79,1.14,403.33,604.71,766.06,4.44,1.57,0.14,0.0012,0.0866,2.14,2.14,2.14,17.75,52.97,64.23,77.5,7.11
Japan,Asia,2006,133.22,5682.5,7.28,1.44,19.8,2.77,5.84,1.76,2.2,1.88,1.18,508.19,719.27,795.35,4.47,1.98,0.15,0.0012,0.112,2.19,2.19,2.19,19.23,65.06,67.42,78.0,7.17
Japan,Asia,2007,134.28,5824.56,7.45,1.54,20.6,2.87,5.92,1.74,2.2,1.98,1.22,640.32,855.52,825.77,4.51,2.17,0.15,0.0011,0.108,2.24,2.24,2.24,17.77,79.79,68.2,78.5,6.68
Japan,Asia,2008,135.36,5970.17,7.62,1.63,21.4,2.97,5.99,1.71,2.21,2.07,1.27,806.8,1017.59,857.35,4.55,2.23,0.15,0.0011,0.1002,2.29,2.29,2.29,17.78,97.71,70.29,79.0,7.32
